Family,PDBid,Type,In_CryptoSite,Resolution
130,2x1u,0,0,1.84
132,3ztw,0,0,1.9
133,4d8y,0,0,1.61
134,1l4b,0,0,1.7
135,3itx,0,0,1.8
136,1o7j,0,0,1.0
137,2v7i,0,0,1.75
138,1gsk,0,0,1.7
139,1pb3,0,0,1.7
140,3q6r,0,0,1.4
141,1ppd,0,0,2.0
142,1fsf,0,0,1.9
143,3i11,0,0,1.45
144,3l3i,0,0,1.7
145,1kw3,0,0,1.45
146,1jse,0,0,1.12
148,3v9j,0,0,1.3
149,1iab,0,0,1.79
150,1ms3,0,0,1.65
151,1euw,0,0,1.05
152,4jh2,0,0,1.27
153,2i4e,0,0,1.75
154,2fs6,0,0,1.35
155,1pyl,0,0,1.51
157,4m5q,0,0,1.53
158,3f1p,0,0,1.17
159,4lsf,0,0,1.9
160,3b4o,0,0,1.9
161,1dcs,0,0,1.3
162,3gke,0,0,1.75
163,1rrh,0,0,2.0
164,3czf,0,0,1.2
165,1gpf,0,0,1.85
166,1rtm,0,0,1.8
167,1l7l,0,0,1.5
168,1ofb,0,0,2.01
169,3wnf,0,0,1.45
170,1f7d,0,0,1.4
171,4hoy,0,0,1.78
172,1g4i,0,0,0.97
173,4qaj,0,0,1.5
174,2q08,0,0,2.0
176,3nfy,0,0,1.94
177,1n8n,0,0,1.69
178,1pvf,0,0,1.78
179,4rj2,0,0,0.99
180,3wra,0,0,2.1
181,1yy6,0,0,1.7
182,1pw9,0,0,1.6
183,3rds,0,0,1.5
184,1m4t,0,0,1.77
185,2yf4,0,0,1.7
186,4bt2,0,0,1.1
187,2afm,0,0,1.66
188,4i64,0,0,1.75
189,1gmq,0,0,1.8
190,2fmf,0,0,2.0
191,1n1b,0,0,2.0
192,3kqx,0,0,2.01
194,1f6k,0,0,1.6
195,3tg0,0,0,1.2
197,2aju,0,0,1.5
198,3s0a,0,0,1.15
199,3pbf,0,0,1.8
200,4enl,0,0,1.9
201,3ppg,0,0,1.98
202,2bum,0,0,1.8
203,2ptw,0,0,1.9
204,1v8n,0,0,1.74
205,2de6,0,0,1.8
206,1u1s,0,0,1.6
207,3kl1,0,0,1.55
208,3hi7,0,0,1.8
209,1psr,0,0,1.05
211,3twz,0,0,1.75
212,1ho1,0,0,2.0
213,2rh2,0,0,0.96
214,1m4l,0,0,1.25
215,4hvo,0,0,1.75
216,3ssw,0,0,1.67
217,1dbf,0,0,1.3
218,1v3b,0,0,2.0
219,4j0d,0,0,1.6
220,1djh,0,0,2.5
221,2oa6,0,0,2.15
223,2sga,0,0,1.5
224,4j0u,0,0,1.97
225,4h00,0,0,2.0
226,3gd6,0,0,1.6
227,3wsi,0,0,2.3
228,4ehx,0,0,1.9
229,3wmy,0,0,1.4
231,3a7f,0,0,1.55
232,2y3z,0,0,1.83
233,3azy,0,0,1.65
234,1qus,0,0,1.7
235,3m6o,0,0,2.0
236,1byi,0,0,0.97
238,4a88,0,0,1.51
239,2wlc,0,0,1.95
240,1qcg,0,0,2.1
241,3pb6,0,0,1.05
242,1lbv,0,0,1.8
243,2pa5,0,0,1.6
244,1u6i,0,0,2.2
245,2duo,0,0,1.8
246,3n5k,0,0,2.2
247,3per,0,0,2.1
248,1gxy,0,0,1.71
250,2d6k,0,0,2.5
251,4b4p,0,0,1.8
252,2yrw,0,0,2.2
253,2oam,0,0,2.3
254,3mwp,0,0,1.79
255,1dc5,0,0,2.0
256,1ogc,0,0,2.0
257,1oxs,0,0,1.65
258,3mvi,0,0,1.6
259,1gik,0,0,1.8
260,3ivy,0,0,1.35
261,1tks,0,0,1.6
262,1ve6,0,0,2.1
264,2yvm,0,0,1.7
265,3e8m,0,0,1.1
266,1yxl,0,0,1.48
267,3t3p,0,0,2.2
268,2j45,0,0,1.14
269,1j2t,0,0,1.8
270,2z3g,0,0,1.5
271,4xim,0,0,2.3
272,4c6c,0,0,1.45
273,2y7e,0,0,1.28
274,4ntz,0,0,1.69
275,1pkh,0,0,1.42
276,1odk,0,0,1.9
277,4hsw,0,0,1.22
278,1u94,0,0,1.9
279,3dxl,0,0,1.3
280,3kv7,0,0,1.56
281,1ah6,0,0,1.8
282,2qul,0,0,1.79
283,4c9m,0,0,1.8
284,1x8g,0,0,1.7
285,3ppn,0,0,2.3
286,2f2q,0,0,1.45
287,1is6,0,0,1.7
288,3kjh,0,0,1.9
289,1q7z,0,0,1.7
290,3t2b,0,0,1.52
291,1k3o,0,0,1.8
292,2hhc,0,0,1.54
293,1knq,0,0,2.0
294,1yuy,0,0,1.9
295,2g3x,0,0,1.58
296,3quq,0,0,1.65
297,1ade,0,0,2.0
298,3jsl,0,0,1.8
299,4r8r,0,0,1.46
300,1lci,0,0,2.0
301,3c9z,0,0,1.35
302,1e43,0,0,1.7
303,1vfj,0,0,1.7
304,1d9e,0,0,2.4
305,1k6i,0,0,1.8
