PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
1HOOB,-0.026,0,19,90.363,62.587,27.775,309.889,1,4.011,0.504,0.105,8.444,3.556,6,0,61.111,2.755,5.66,0.437,1
1IMFA,0.054,0.001,64,271.361,151.806,119.555,913.823,6.727,4.048,0.504,0.172,17.043,3.565,13,-1,46.667,6.179,13.592,0.348,1
1K5HC,0.029,0.024,29,104.706,45.532,59.174,289.805,7.778,3.957,0.463,0.31,31.917,2.833,2,-1,39.13,3.348,10.064,0.812,1
1K5HC,0.018,0.012,19,81.744,31.36,50.384,226.578,9,3.771,0.479,0.526,16.111,3.889,5,-2,47.059,2.962,7.78,0.484,1
1K5HC,-0.096,0.001,15,67.198,18.259,48.938,195.04,3,4.254,0.508,0.267,40.714,2.857,1,0,41.667,1.38,3.441,0.604,1
1KS9A,0.504,0.14,97,266.022,152.426,113.596,1066.259,7.4,3.896,0.5,0.206,23.038,3.923,15,4,53.125,9.944,23.812,0.426,1
1KS9A,-0.037,0.001,22,134.902,66.067,68.835,464.065,3.333,4.145,0.551,0.273,12.4,4.2,5,4,43.478,4.695,10.907,0.55,1
1KS9A,0.026,0.099,20,84.93,26.964,57.966,271.494,10,3.725,0.406,0.55,37.333,4.444,4,1,43.75,3.337,8.313,0.438,1
1MY1C,0.375,0.154,56,65.361,27.924,37.436,277.662,14.625,3.687,0.431,0.286,29.125,4.438,10,-1,48.571,3.462,7.567,0.068,1
1NEPA,0.277,0.55,20,106.056,31.183,74.873,334.474,15.158,3.987,0.466,0.95,13.667,4.444,3,0,25,4.75,12.359,0.659,1
1NI6D,0.265,0.75,50,97.521,17.343,80.178,351.709,39.818,3.8,0.413,0.88,61.778,4.778,4,0,16.667,4.176,8.85,0.559,1
1NI6D,0.154,0.012,52,85.685,30.134,55.551,298.487,20,3.806,0.59,0.404,24.455,4,6,1,36.364,2.496,6.801,0.375,1
1NI6D,-0.029,0.003,82,313.453,158.876,154.576,1047.395,16.48,3.997,0.54,0.305,8.737,4.211,15,2,42.373,6.689,16.767,0.617,1
1NUWA,0.587,0.007,37,17.821,12.99,4.831,280.553,4,3.82,0.443,0.135,10.267,4.133,10,-2,57.692,3.327,8.8,0.346,1
1PKLB,-0.074,0,16,77.989,65.912,12.076,267.769,0,4.149,0.605,0,-7.1,4.2,9,1,78.571,2.003,4.537,0.565,1
1QLWB,0.278,0.001,30,106.279,67.635,38.644,332.395,4,3.749,0.531,0.167,12.222,4.222,6,1,45.455,4.691,10.111,0.464,1
1QLWB,-0.039,0,19,105.489,28.301,77.189,239.808,3,3.952,0.507,0.211,33.556,4.444,4,2,41.176,2.559,5.178,0.556,1
1R1WA,0.346,0.79,56,139.621,30.222,109.399,453.746,37.073,3.889,0.477,0.732,35.176,4.294,6,1,36.111,4.875,12.097,0.685,1
1RDWX,-0.063,0.238,42,127.924,40.738,87.187,489.463,34.556,4.046,0.622,0.857,50.917,4.75,5,0,24.242,4.296,9.654,0.5,1
1RTCA,0.346,0.43,58,161.61,74.661,86.949,655.875,19.852,3.948,0.578,0.466,4.833,4.111,12,-4,42.222,5.477,15.274,0.326,1
1SWXA,0.055,0,15,59.529,25.715,33.814,240.882,5,3.963,0.65,0.4,-8.5,3.375,5,0,35.294,2.921,6.518,0.374,1
1TQOA,0.292,0.169,34,113.023,46.604,66.42,388.049,14,4.179,0.564,0.441,40.333,4.917,6,0,46.154,3.219,6.887,0.287,1
1W50A,0.424,0.008,42,95.332,49.442,45.89,290.166,6,3.667,0.397,0.167,12.125,3.25,9,1,57.143,4.062,10.041,0.543,1
1W50A,0.069,0,27,160.757,100.376,60.381,486.982,0,4.078,0.514,0.037,22.312,4.312,10,1,48.148,4.917,11.219,0.604,1
1XCGB,0.327,0.312,32,98.989,25.086,73.903,291.579,19,3.794,0.448,0.625,23.4,3.9,4,1,33.333,2.987,6.646,0.583,1
1XMGB,0.226,0.081,22,23.024,0,23.024,143.956,21,3.664,0.402,1,87.75,5.167,1,0,0,2.663,5.851,0.212,1
2AKAA,-0.202,0.958,222,503.395,249.477,253.919,1422.997,20.033,3.752,0.45,0.275,9.744,3.605,27,-2,48.718,9.705,29.433,0.338,1
2AX9A,0.871,0.897,85,1.208,0,1.208,487.086,53.75,3.962,0.453,0.753,66.455,4.909,5,1,21.277,4.736,11.514,0.291,1
2BLSB,0.218,0.928,100,245.014,113.145,131.869,945.351,18.429,4.016,0.444,0.28,18.37,3.704,16,2,47.619,7.088,19.873,0.37,1
2BRKA,0.067,0.008,19,59.992,7.589,52.403,238.116,15,3.776,0.561,0.842,52.125,5.375,5,2,21.053,2.136,5.527,0.462,1
2BU8A,0.263,0.038,46,44.436,11.83,32.606,197.563,31,3.814,0.542,0.696,71.182,4.909,3,1,24.138,2.394,5.357,0.635,1
2CGAB,0.401,0.001,51,151.496,98.122,53.373,555.756,2.4,3.965,0.522,0.098,30.368,4.053,12,1,52.5,5.649,13.454,0.37,1
2CGAB,0.138,0.23,31,130.6,48.481,82.119,402.329,20.96,3.847,0.588,0.806,36.5,4.7,7,2,32.258,4.399,12.335,0.698,1
2CM2A,0.217,0.012,33,98.028,53.188,44.841,401.696,14,4.085,0.648,0.455,13.846,4,8,0,37.931,4.198,8.912,0.456,1
2F6VA,0.723,0.847,54,54.327,31.382,22.945,551.875,24.769,3.882,0.49,0.481,12.588,4.235,11,2,39.535,4.912,13.155,0.234,1
2GFCA,0.489,0.268,71,107.733,37.612,70.122,425.926,34.667,3.758,0.414,0.592,30.318,4,10,-4,33.333,4.852,10.302,0.316,1
2GFCA,-0.025,0,19,110.337,84.977,25.36,275.837,2,3.771,0.431,0.158,0.889,4.111,7,-2,58.824,3.571,8.033,0.377,1
2H4EB,0.168,0.133,19,63.17,26.941,36.229,163.624,9,3.751,0.554,0.526,37.286,3.571,3,1,50,2.311,4.827,0.363,1
2IYTA,0.336,0.005,22,87.618,35.69,51.928,325.473,5,3.965,0.597,0.273,2.875,2.5,2,1,47.619,3.814,9.412,0.694,1
2OHGA,0.47,0.002,52,119.045,64.465,54.581,459.216,4,3.797,0.544,0.096,23.348,3.087,11,-1,54.545,5.04,12.239,0.286,1
2QFOB,0.094,0.5,95,247.969,127.207,120.763,845.618,23.286,4.026,0.449,0.295,21.44,3.28,11,-2,41.509,5.637,14.932,0.206,1
2QLRC,0.322,0.003,48,135.31,66.475,68.835,366.896,4.333,3.705,0.43,0.125,15.769,3.692,8,0,40.625,4.528,9.548,0.551,1
2WGBA,0.303,0.059,49,119.894,57.097,62.797,478.662,18.818,4.019,0.568,0.449,28.933,3.867,8,-2,38.889,4.044,8.637,0.165,1
2WGQB,-0.158,0.026,91,311.911,215.3,96.61,1057.713,25.517,3.95,0.522,0.319,13.792,3.917,11,1,56.452,7.819,21.054,0.5,1
2YQCA,0.257,0.443,76,269.386,103.723,165.662,1004.651,14.606,3.833,0.504,0.434,9.069,3.69,14,2,41.667,8.335,20.123,0.553,1
2YQCA,0.033,0.033,24,75.269,26.964,48.305,257.471,13,4.039,0.501,0.583,28.455,4.273,5,-1,31.579,2.653,6.448,0.192,1
3B7DE,-0.021,0,29,99.714,62.277,37.436,321.392,1,3.989,0.507,0.069,19.667,4.444,5,0,60,3.265,6.525,0.305,1
3BL9B,-0.023,0.036,21,137.584,32.52,105.064,420.131,11.714,3.973,0.562,0.667,16.833,5.167,4,1,36.842,4.842,13.123,0.795,1
3CHEA,0.265,0.771,113,275.637,131.692,143.945,1053.684,18.511,3.9,0.451,0.416,36.818,5.227,14,-1,29.577,8.189,20.219,0.562,1
3CJ0A,0.65,0.816,64,56.647,33.702,22.945,445.642,22.857,3.882,0.498,0.438,34.385,5.154,9,4,42.5,4.599,10.786,0.577,1
3DXNA,0.221,0.006,54,149.962,71.07,78.892,512.633,8.842,3.855,0.404,0.352,26.471,4.294,9,-1,40,4.905,12.409,0.438,1
3DXNA,0.192,0.017,26,33.177,5.402,27.775,129.295,22,3.669,0.4,0.885,73,4.778,1,-1,15.789,2.014,4.199,0.383,1
3HQDA,0.84,0.739,63,31.108,11.786,19.322,502.961,14,3.925,0.487,0.238,2.643,3.5,9,1,46.154,5.403,13.63,0.11,1
3HQDA,0.258,0.006,19,7.636,6.429,1.208,101.167,7,3.53,0.371,0.421,15.778,3.889,4,2,46.667,2.035,4.405,0.139,1
3HQDA,0.116,0.04,26,57.514,14.04,43.475,232.599,12,4.067,0.543,0.5,12.444,4.333,4,2,37.5,2.057,4.459,0.487,1
3KQAB,0.145,0.001,30,115.832,85.641,30.191,311.239,1,3.602,0.413,0.067,-4,4.308,9,0,62.5,4.402,9.41,0.462,1
3KQAB,-0.029,0.064,21,106.765,57.252,49.513,325.272,11,4.1,0.532,0.571,1.75,4.25,6,-2,42.105,3.038,6.498,0.414,1
3L7UC,0.002,0.523,26,137.694,32.631,105.064,527.619,16,4.357,0.457,0.654,28.4,4.3,5,2,32,3.925,8.125,0.681,1
3MN9A,-0.026,0.003,30,69.01,37.612,31.398,186.773,7,3.84,0.452,0.267,55.077,4.615,4,0,42.857,2.452,6.336,0.38,1
3MN9A,-0.114,0,16,80.792,43.93,36.862,216.864,2,4.055,0.472,0.188,58.778,5.333,4,-1,40,2.357,4.641,0.743,1
3MN9A,-0.136,0.002,26,105.917,44.328,61.589,290.16,7,3.918,0.586,0.308,37,4.091,3,0,47.826,2.927,5.717,0.46,1
3NNUA,0.809,0.94,186,193.161,101.381,91.78,1512.756,58.957,4.055,0.494,0.618,43.727,4.727,14,4,34.694,8.525,27.736,0.462,1
3NNUA,-0.07,0.001,27,110.869,40.826,70.042,376.756,2,3.909,0.522,0.148,12.167,3.5,7,0,45.833,3.763,11.098,0.669,1
4AKEB,0.445,0.769,40,120.039,27.052,92.987,503.113,14.875,3.95,0.565,0.4,17.067,3.4,4,2,38.235,5.061,12.899,0.177,1
4AKEB,0.053,0.001,19,82.993,22.611,60.381,305.487,2,4.041,0.501,0.158,32.636,4,4,2,50,2.205,5.386,0.652,1
1A8IA,0.318,0.428,79,118.896,53.684,65.212,441.492,19.5,3.727,0.437,0.354,36.818,4.682,12,-2,37.209,5.471,15.341,0.356,0
1ADEA,0.273,0.82,65,149.671,43.974,105.697,457.574,28.625,3.858,0.49,0.492,33.231,3.462,4,-2,33.333,4.365,12.833,0.316,0
1ADEA,0.227,0.204,30,92.812,23.661,69.151,276.706,19.077,3.736,0.457,0.867,31.636,4.727,4,0,25,4.556,11.366,0.681,0
1ALBA,0.09,0.001,17,77.353,37.501,39.852,242.662,6,4.036,0.588,0.412,-33.333,4.667,3,-1,46.667,2.56,5.533,0.699,0
1ALBA,0.173,0.01,18,60.935,15.045,45.89,203.965,11,3.897,0.631,0.667,44.857,4.714,3,0,23.529,2.62,4.918,0.267,0
1ALVA,0.423,0.698,39,120.623,48.007,72.616,496.505,21.043,3.952,0.613,0.59,65.636,5.455,3,2,31.25,4.731,13.946,0.093,0
1CLLA,0.159,0.001,17,81.811,32.299,49.513,374.447,6,4.066,0.762,0.412,8.2,4.2,3,-1,35,3.834,8.641,0.661,0
1DUBD,0.01,0.011,16,81.575,15.155,66.42,235.834,9.667,3.75,0.635,0.75,-6.8,5.6,5,3,31.25,3.617,9.671,0.332,0
1ECJD,0.228,0.058,57,169.391,70.287,99.105,544.868,14.4,3.899,0.547,0.439,6.538,3.231,6,-2,41.667,5.362,14.205,0.31,0
1ECJD,0.181,0.001,28,44.868,19.508,25.36,196.414,8,3.939,0.566,0.321,7.375,4,5,1,44.444,2.194,4.772,0.48,0
1EX6A,0.182,0.069,22,72.24,43.257,28.983,289.756,11,3.798,0.586,0.545,2.333,4,6,1,36.842,3.035,5.933,0.507,0
1EXMA,0.243,0.143,80,216.992,127.627,89.364,697.159,12.909,3.988,0.46,0.275,10.545,3.864,14,0,52,6.106,14.304,0.502,0
1EXMA,0.185,0.013,25,140.992,74.572,66.42,472.804,4,3.901,0.631,0.36,11.167,3.917,8,2,51.724,6.911,17.622,0.807,0
1FA9A,0.12,0.035,36,58.533,25.848,32.685,235.888,10,3.626,0.385,0.306,0,4.167,7,2,52.174,3.26,7.775,0.094,0
1FA9A,0.067,0,35,115.975,82.161,33.814,426.923,1.6,3.793,0.466,0.143,-0.6,4.8,13,0,53.571,5.075,10.701,0.502,0
1FXXA,0.18,0.003,38,143.043,77.831,65.212,675.74,6,4.177,0.619,0.184,9.176,4.118,11,1,52.778,6.284,17.659,0.503,0
1FXXA,0.173,0.516,55,112.789,17.387,95.403,441.182,37.952,3.987,0.573,0.764,49,4.667,4,1,28.571,4.134,9.173,0.457,0
1G24D,0.105,0.223,23,67.313,34.707,32.606,245.931,17,3.923,0.572,0.783,37.333,5.167,4,-2,28.571,2.804,5.812,0.213,0
1G24D,0.081,0.291,31,99.922,52.745,47.177,327.694,17,3.828,0.48,0.581,10.667,3.5,6,2,41.667,3.315,8.97,0.104,0
1G4EB,0.077,0.001,18,75.752,43.146,32.606,277.721,3,3.907,0.485,0.222,4.182,3.545,7,1,52.941,3.189,7.04,0.559,0
1G4EB,-0.023,0,23,86.553,66.023,20.53,241.98,1,4.062,0.498,0.087,9.875,4.5,4,0,58.824,2.161,4.61,0.196,0
1HAGE,0.221,0.031,30,105.518,48.68,56.838,390.325,14,3.947,0.54,0.5,37.071,4.571,6,1,34.615,4.125,9.286,0.469,0
1HKAA,0.463,0.049,29,109.757,49.376,60.381,478.423,10.615,4.018,0.654,0.448,40.364,3.909,3,-1,35.714,4.776,11.095,0.179,0
1HKAA,0.339,0.631,24,77.661,16.072,61.589,318.133,18.5,3.84,0.623,0.833,52.143,6,4,3,22.727,3.121,9.082,0.301,0
1HKAA,0.265,0.001,17,64.952,31.139,33.814,280.734,7,4.132,0.787,0.471,43.5,4.833,4,1,26.316,3.135,5.326,0.404,0
1HOOB,0.177,0.003,35,76.8,33.326,43.475,311.119,5.714,3.889,0.524,0.2,11.25,4.25,7,2,43.478,3.176,8.048,0.288,0
1HOOB,0.102,0.001,34,99.579,74.218,25.36,284.391,4,3.767,0.479,0.147,8.143,5.143,5,2,36,3.418,7.959,0.388,0
1HOOB,0.16,0.058,49,117.57,55.981,61.589,346.582,11,3.932,0.494,0.245,28.308,3.769,5,-1,40.625,3.691,8.547,0.292,0
1IMFA,0.26,0.021,30,36.896,13.951,22.945,164.517,8,3.695,0.429,0.3,36.909,4.182,5,-2,45,2.419,5.315,0.167,0
1K5HC,0.182,0.291,42,121.631,50.381,71.25,418.767,18.231,4.024,0.504,0.619,47.167,3.917,3,-2,34.375,4.785,10.832,0.59,0
1K5HC,0.178,0.062,38,194.358,76.981,117.377,696.477,7.571,3.987,0.571,0.368,34.583,4,5,-1,38.889,7.739,19.352,0.676,0
1K5HC,0.133,0.001,19,79.511,42.075,37.436,348.297,2,4.138,0.728,0.158,-1.571,3.571,5,-1,50,4.072,7.224,0.421,0
1KS9A,0.109,0.009,19,96.768,47.255,49.513,425.892,6,4.119,0.702,0.368,11.429,3.286,3,-1,45,4.796,10.339,0.216,0
1KS9A,0.096,0.347,21,54.035,21.429,32.606,249.171,14,3.924,0.511,0.714,49.444,4.778,5,2,26.316,2.734,6.583,0.716,0
1MY1C,0.195,0.621,77,208.691,106.043,102.648,678.524,20.923,3.807,0.415,0.338,12.938,4,10,2,47.727,5.616,14.086,0.398,0
1NEPA,0.438,0.025,31,115.41,74.351,41.059,468.922,11,4.079,0.638,0.387,-24.222,3,9,-2,50,4.769,10.631,0.475,0
1NEPA,0.332,0.568,31,116.985,44.527,72.458,433.528,17.636,4.018,0.654,0.71,15.556,4.889,5,3,36.667,3.785,10.399,0.307,0
1NI6D,0.258,0.043,66,187.478,67.922,119.555,698.388,16.214,3.867,0.538,0.424,33.125,4.688,8,-2,38.462,6.473,15.422,0.096,0
1NI6D,0.168,0.007,31,125.339,51.673,73.665,549.446,13.895,4.087,0.721,0.613,13.556,4.111,5,0,34.483,5.609,13.944,0.643,0
1NI6D,0.135,0.003,39,68.966,37.567,31.398,203.246,15,3.803,0.483,0.41,29.75,3.75,4,0,37.5,2.413,5.667,0.912,0
1NUWA,0.241,0.288,26,19.937,5.446,14.492,82.755,20,3.63,0.47,0.808,37.125,4.875,4,0,31.25,1.058,3.203,0.204,0
1PKLB,0.081,0.351,33,73.766,18.215,55.551,254.578,27,4.049,0.582,0.848,42.444,3.778,4,0,27.273,2.372,5.973,0.309,0
1PZTA,0.293,0.181,51,152.907,102.187,50.72,426.04,13.75,3.669,0.413,0.314,-1.643,3.714,10,1,47.059,4.733,12.085,0.475,0
1PZTA,0.191,0.005,23,51.762,24.798,26.964,234.588,8,4.034,0.625,0.391,47.222,5.333,4,1,36.842,2.423,5.195,0.325,0
1QLWB,0.375,0.006,47,126.929,79.753,47.177,467.321,10.154,3.986,0.511,0.277,12.75,3.375,8,-2,46.875,4.496,11.518,0.506,0
1QLWB,0.335,0,44,131.405,83.1,48.305,504.182,4.571,3.884,0.509,0.159,4.8,4.1,8,-2,51.613,4.544,10.302,0.515,0
1R1WA,0.248,0.013,44,159.003,72.053,86.949,541.039,13,3.92,0.469,0.5,43.083,5.583,7,1,24.242,5.585,14.14,0.577,0
1RDWX,0.059,0,15,15.567,10.737,4.831,89.776,3,3.665,0.405,0.267,14.444,3.333,5,-1,53.846,1.448,2.719,0,0
1RDWX,0.058,0,23,87.133,56.942,30.191,356.412,1,4.066,0.588,0.087,0.818,4.091,8,-1,55,4.358,10.965,0.572,0
1RDWX,0.039,0.017,20,96.518,34.375,62.143,307.35,12.714,3.83,0.522,0.7,42.8,5.2,4,2,40,4.63,10.369,0.62,0
1RTCA,0.232,0.001,24,81.657,32.144,49.513,296.197,2,3.838,0.634,0.125,33.3,3.3,4,0,43.478,4.408,10.977,0.382,0
1SWXA,0.158,0.01,46,66.428,19.331,47.097,212.545,26,3.761,0.457,0.587,23.182,4.091,3,0,31.034,2.723,6.5,0.458,0
1SWXA,0.15,0.001,44,86.512,37.811,48.701,286.372,11.077,3.828,0.488,0.295,27.818,4.455,6,-1,41.379,3.585,7.796,0.386,0
1TQOA,0.214,0.313,18,78.17,31.072,47.097,276.619,12.714,3.864,0.647,0.778,1.25,4.25,5,0,33.333,3.407,9.557,0.64,0
1SWXA,0.268,0.014,23,39.356,13.995,25.36,220.373,12,3.958,0.536,0.565,22.375,3.625,4,0,47.368,2.377,5.77,0.089,0
1SWXA,0.254,0.253,44,143.937,67.856,76.081,442.189,22.96,3.854,0.445,0.568,-6.889,4.444,8,0,45.833,3.983,9.803,0.575,0
1XCGB,0.404,0.084,27,92.721,33.547,59.174,366.273,12,3.983,0.671,0.519,-7.875,4.875,6,-1,40,4.413,11.961,0.502,0
1XMGB,0.306,0.551,91,198.482,55.981,142.5,825.535,31.524,4.004,0.563,0.462,29.118,4.235,6,2,36.842,6.12,13.272,0.389,0
2AKAA,0.061,0.001,25,84.477,30.134,54.343,269.102,5,3.689,0.478,0.24,7.545,3.364,5,-1,45.455,4.099,8.072,0.591,0
2AKAA,-0.012,0,19,77.684,26.964,50.72,224.668,4,3.789,0.544,0.263,20.444,4.444,5,0,47.368,3.28,6.546,0.542,0
2AKAA,0.035,0.003,25,101.933,46.383,55.551,403.404,10,3.975,0.639,0.44,24.333,4.222,5,0,41.667,4.645,11.168,0.408,0
2AX9A,0.337,0.235,92,172.776,60.466,112.309,635.664,32.776,3.791,0.458,0.533,31.947,4.632,9,2,33.333,5.67,14.548,0.327,0
2BLSB,0.113,0.017,22,58.321,25.715,32.606,342.289,9,4.11,0.684,0.455,1.667,4.222,6,1,41.667,3.045,7.67,0.549,0
2BRKA,0.365,0.561,58,199.606,76.428,123.178,715.398,25.5,3.843,0.478,0.483,12.3,4.15,12,2,45.455,6.827,16.846,0.539,0
2BRKA,0.349,0,51,138.282,76.693,61.589,692.014,4,3.963,0.45,0.098,11.059,4.235,12,-1,58.14,5.023,11.371,0.638,0
2BU8A,0.387,0.91,86,156.546,45.444,111.102,514.472,52.382,3.808,0.451,0.791,40.167,4.333,8,0,28.846,5.502,13.244,0.447,0
2BU8A,0.145,0.005,31,102.567,42.185,60.381,394.218,12.267,3.825,0.54,0.484,24.9,4.1,4,0,28,4.433,8.997,0.697,0
2BU8A,-0.044,0.001,31,115.779,66.266,49.513,314.098,14,3.944,0.546,0.484,17.375,5.125,4,2,40.909,3.095,6.799,0.304,0
2CGAB,0.076,0,15,71.047,34.818,36.229,208.739,5,3.903,0.707,0.4,20.667,5.667,3,1,40,2.871,5.546,0.237,0
2CGAB,0.066,0,18,58.609,26.003,32.606,143.554,0,3.716,0.542,0,43.5,3,1,0,50,1.92,4.554,0.208,0
2CM2A,0.203,0.001,26,71.01,43.235,27.775,289.824,6,3.83,0.558,0.269,3.7,4,9,-3,41.667,3.529,6.6,0.298,0
2CM2A,0.199,0,42,122.586,64.619,57.966,414.137,0,3.852,0.461,0.024,-0.462,3.692,8,2,58.621,4.263,10.874,0.42,0
2F6VA,0.403,0.021,41,143.822,59.129,84.692,617.289,11.5,4.005,0.565,0.39,31.125,3.938,5,-1,38.889,6.703,14.87,0.313,0
2GFCA,0.113,0.001,21,84.503,39.821,44.682,284.996,6,3.812,0.54,0.333,47.364,4.636,4,1,33.333,3.816,8.932,0.241,0
2GFCA,-0.01,0,15,84.731,37.634,47.098,235.327,5,3.952,0.619,0.4,5.667,3.222,3,1,44.444,2.974,5.952,0.593,0
2H4EB,0.293,0.02,36,158.853,77.942,80.911,630.304,5.111,3.796,0.479,0.25,21.6,4.2,6,1,46.429,4.982,14.18,0.462,0
2IYTA,0.288,0.436,23,101.196,22.7,78.496,346.964,14.875,4.149,0.755,0.696,29.375,3.625,3,1,34.783,3.683,7.998,0.446,0
2OHGA,0.163,0.062,29,104.226,28.146,76.081,297.654,14,4.002,0.46,0.517,35.818,4.455,3,0,28.571,3.805,8.099,0.361,0
2QFOB,0.116,0.003,30,143.92,99.238,44.682,456.278,6.222,3.905,0.575,0.3,2.545,4.636,9,1,51.852,6.28,14.706,0.638,0
2QLRC,0.295,0.102,34,109.399,28.013,81.386,391.375,13.364,3.978,0.563,0.647,52.917,4.167,3,1,29.63,4.752,11.25,0.416,0
2WGBA,0.286,0.684,44,118.788,37.877,80.911,373.437,25.333,3.972,0.453,0.682,55.909,4.727,3,2,32.143,4.46,11.575,0.691,0
2WGQB,0.114,0.958,193,459.345,212.118,247.227,1480.04,17.17,3.81,0.414,0.275,20.404,4.085,25,-3,45.794,10.239,27.582,0.608,0
2YQCA,0.192,0.553,87,226.948,92.743,134.205,778.622,21.789,4.056,0.533,0.437,38.947,4.316,9,0,41.818,6.098,18.83,0.639,0
2YQCA,0.19,0.007,38,180.622,75.4,105.222,645.098,6.4,3.977,0.506,0.395,-7.571,4.571,11,0,41.176,7.637,18.528,0.62,0
2ZB1A,0.062,0,27,91.478,63.703,27.775,395.461,2,3.911,0.431,0.111,44.182,5.091,5,1,45.455,3.824,8.343,0.738,0
2ZB1A,0.023,0.001,22,122.792,62.41,60.381,399.891,3,3.993,0.639,0.182,2.636,4,10,0,52.174,5.049,11.185,0.659,0
3B7DE,-0.024,0,16,73.239,42.969,30.27,264.23,5,3.962,0.51,0.375,19.286,5.857,6,0,53.333,2.678,5.844,0.425,0
3B7DE,0.043,0.052,28,138.03,57.119,80.911,501.744,13.222,3.907,0.605,0.643,32.077,4.538,7,2,32.143,5.46,14.571,0.312,0
3BL9B,0.112,0.002,80,282.197,130.036,152.161,994.695,9.647,4.012,0.482,0.213,23.333,4.19,9,1,46.296,7.494,22.189,0.315,0
