PDB Name,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean local hydrophobic density,Mean alpha sphere radius,Mean alp. sph. solvent access,Apolar alpha sphere proportion,Hydrophobicity score,Volume score,Polarity score,Charge score,Proportion of polar atoms,Alpha sphere density,Cent. of mass - Alpha Sphere max dist,Flexibility,cryptic pocket flag
2iuzb,0.613,0.938,133,82.361,48.548,33.814,796.402,62.943,3.766,0.412,0.654,26.727,5.227,18,-4,33.824,5.991,14.095,0.171,1
3hzta,0.192,0.002,15,8.317,1.071,7.246,148.048,6.0,3.628,0.306,0.467,56.455,4.818,3,0,28.571,2.327,6.036,0.191,1
1g67b,0.89,0.983,140,76.437,47.454,28.983,934.071,54.848,3.961,0.437,0.471,14.031,3.781,19,3,47.826,6.544,17.685,0.153,1
2al4f,0.435,0.002,40,74.166,54.844,19.322,396.191,5.8,3.95,0.538,0.25,11.182,4.545,7,0,50.0,4.335,8.977,0.253,1
2bysj,0.714,0.831,76,16.657,2.165,14.492,383.742,46.292,3.96,0.516,0.632,38.667,4.833,8,0,21.951,3.57,10.181,0.121,1
1lica,0.685,0.829,49,75.281,45.09,30.191,600.6,20.348,3.881,0.496,0.469,23.619,3.762,11,0,41.026,5.384,11.032,0.655,1
2ofpa,0.502,0.683,120,106.187,39.688,66.499,910.247,34.107,3.944,0.452,0.467,30.032,4.032,14,-2,39.706,6.638,16.424,0.337,1
2ohva,1.008,0.06,296,505.613,224.236,281.377,3088.217,22.817,4.049,0.497,0.314,20.018,4.07,35,3,43.353,12.557,28.539,0.438,1
1ha3b,0.563,0.373,48,43.675,36.43,7.246,634.822,23.846,4.079,0.554,0.542,13.0,4.5,7,-2,40.0,4.797,10.871,0.31,1
2bu2a,0.534,0.508,52,26.844,7.522,19.322,444.741,43.304,3.969,0.552,0.885,54.867,4.333,4,2,25.0,4.208,8.966,0.44,1
3hl8a,0.19,0.316,45,101.264,44.505,56.759,453.059,19.917,3.819,0.458,0.533,44.417,4.833,6,2,28.125,4.841,14.492,0.085,1
1ankb,0.87,0.995,257,341.089,117.519,223.57,2072.297,29.816,3.966,0.474,0.296,9.347,3.898,26,8,44.203,11.232,29.627,0.46,1
1ciba,1.016,0.77,125,59.525,26.919,32.606,856.753,21.029,3.9,0.493,0.28,11.972,3.778,21,2,54.054,7.212,19.559,0.477,1
2euma,1.218,0.997,207,198.433,46.272,152.161,1716.674,71.154,3.96,0.512,0.845,59.775,4.45,7,1,22.314,10.57,26.16,0.361,1
1eccb,0.362,0.152,56,63.499,42.969,20.53,501.15,23.643,3.803,0.456,0.5,17.75,3.5,6,0,40.0,4.754,9.547,0.443,1
1l5sb,0.193,0.089,40,40.603,4.374,36.229,334.807,26.0,3.875,0.425,0.675,23.0,5.333,5,1,30.435,3.141,6.69,0.039,1
1t49a,0.366,0.919,60,115.924,39.843,76.081,700.601,30.0,3.981,0.439,0.667,36.158,5.105,13,0,34.091,5.707,15.739,0.719,1
2iegb,0.263,0.191,39,12.942,3.281,9.661,253.0,28.0,3.831,0.412,0.744,23.0,5.333,5,1,27.273,2.797,6.504,0.123,1
1nx3a,0.762,0.881,77,70.494,45.134,25.36,748.963,40.375,3.982,0.494,0.623,27.44,4.04,13,1,40.816,5.61,11.958,0.272,1
2h4ka,0.597,0.024,62,65.321,37.545,27.775,595.303,10.0,3.886,0.512,0.194,9.571,4.071,8,1,38.636,5.283,14.843,0.273,1
2oo8x,0.674,0.717,68,63.698,43.168,20.53,588.586,36.974,3.988,0.502,0.574,46.333,4.5,6,0,43.902,4.763,11.721,0.42,1
2ohva,1.057,0.843,134,53.874,34.552,19.322,1114.011,25.5,3.946,0.519,0.328,17.618,4.0,15,2,43.902,8.935,20.766,0.34,1
3dc1a,0.317,0.149,49,73.7,29.018,44.682,462.455,23.0,4.067,0.549,0.49,13.455,3.455,6,1,30.303,3.747,7.512,0.448,1
3hl8a,0.246,0.276,52,100.686,56.004,44.682,467.274,26.727,3.949,0.476,0.635,46.706,3.412,4,0,30.303,5.034,11.758,0.488,1
1lica,0.307,0.003,19,55.02,44.151,10.869,290.409,2.0,3.873,0.459,0.158,38.25,4.5,6,1,47.619,4.14,9.355,0.528,1
3f82a,0.623,0.141,203,260.316,160.103,100.213,1467.719,30.431,3.889,0.453,0.251,6.694,3.694,19,1,46.535,8.456,19.525,0.54,1
3bl7a,0.285,0.076,122,295.167,120.061,175.106,1137.2,14.195,3.899,0.451,0.336,21.472,4.722,24,7,44.304,9.296,24.19,0.66,1
1eccb,0.781,0.512,152,157.515,67.834,89.681,922.797,17.415,3.86,0.45,0.27,11.161,4.161,19,4,44.444,7.7,19.175,0.351,1
1okeb,0.562,0.869,53,74.859,19.308,55.551,481.382,40.478,3.996,0.466,0.868,62.667,3.933,3,0,22.222,4.674,13.632,0.747,1
1ghyh,0.359,0.006,41,66.705,37.722,28.983,272.949,1.0,3.615,0.443,0.049,-6.75,4.333,9,1,59.375,4.074,12.776,0.548,1
2wkwb,0.727,0.692,55,43.393,13.123,30.27,448.766,23.769,3.813,0.436,0.473,45.389,4.389,7,4,31.429,4.596,9.406,0.426,1
3dhhe,0.554,0.327,33,54.057,21.451,32.606,340.039,12.0,3.963,0.515,0.394,51.1,4.4,3,-2,38.462,3.52,9.866,0.427,1
2girb,0.263,0.518,29,64.053,9.71,54.343,424.378,19.333,4.152,0.583,0.724,54.273,4.182,1,1,32.143,4.399,13.608,0.266,1
3hqpp,0.309,0.002,72,51.813,34.906,16.907,543.792,5.0,3.966,0.521,0.083,13.312,4.25,11,6,51.22,3.893,9.691,0.245,1
2v57a,0.265,0.734,68,87.916,33.414,54.502,692.25,44.836,3.999,0.529,0.809,48.143,4.786,5,1,25.532,5.893,12.542,0.74,1
3bqmc,0.81,0.897,71,43.726,8.704,35.021,663.135,52.82,4.021,0.467,0.859,66.0,5.263,6,0,16.667,5.084,11.725,0.237,1
1s9da,0.404,0.903,83,113.894,25.737,88.157,737.961,60.091,4.162,0.425,0.795,59.083,5.083,6,-1,25.581,4.699,12.133,0.758,1
2v57a,0.359,0.0,705,1387.061,483.754,903.307,6070.862,44.933,3.964,0.478,0.383,16.092,4.44,71,1,40.104,16.458,37.232,0.492,1
3hqpp,0.728,0.856,213,265.257,151.74,113.517,1692.243,34.706,3.929,0.447,0.239,7.283,3.717,30,1,55.046,8.871,22.149,0.383,1
1imbb,0.297,0.014,41,69.136,40.153,28.983,512.305,8.0,4.277,0.541,0.22,31.462,4.231,5,3,50.0,3.939,10.643,0.563,1
3ip0a,0.072,0.001,22,35.343,18.436,16.907,232.721,8.0,3.829,0.582,0.409,17.167,4.167,4,0,50.0,2.163,5.215,0.721,1
3ip0a,0.179,0.002,15,8.317,1.071,7.246,150.867,6.0,3.628,0.306,0.467,56.455,4.818,3,0,28.571,2.327,6.036,0.476,1
2iuzb,0.263,0.019,39,12.942,3.281,9.661,254.137,28.0,3.831,0.412,0.744,23.0,5.333,5,1,27.273,2.797,6.504,0.528,1
1eyjb,0.568,0.018,55,59.386,40.064,19.322,466.258,6.0,3.85,0.417,0.127,9.211,4.316,13,-3,59.459,4.931,13.404,0.589,1
2npqa,0.471,0.943,85,102.83,16.138,86.692,758.416,52.761,3.92,0.446,0.835,49.474,4.579,6,-1,20.833,5.796,13.909,0.539,1
2hkac,0.638,0.723,83,91.845,48.371,43.475,753.668,42.222,4.013,0.563,0.542,17.778,4.333,11,2,38.776,5.174,13.97,0.831,1
2ofpa,1.126,0.326,263,431.292,169.237,262.055,2795.018,18.988,4.047,0.495,0.308,21.927,4.091,33,4,42.593,12.348,28.341,0.512,1
2jdsa,1.327,0.948,133,52.667,34.552,18.114,1122.841,25.5,3.946,0.518,0.331,17.618,4.0,15,2,44.444,8.922,20.766,0.398,1
1l5sb,0.286,0.69,71,80.428,53.861,26.568,577.559,39.409,3.758,0.4,0.62,-7.0,3.857,9,-2,33.333,4.784,13.333,0.506,1
2jdsa,0.737,0.97,123,106.459,37.545,68.914,938.579,39.758,3.948,0.454,0.537,34.9,4.033,12,-3,35.714,6.708,16.393,0.315,1
3h9jd,0.269,0.195,93,278.28,172.009,106.271,1059.6,15.3,3.883,0.457,0.215,21.808,3.923,12,3,55.0,7.757,20.521,0.596,1
2yqsa,1.002,0.461,116,104.904,83.166,21.737,1066.862,21.188,3.83,0.462,0.276,11.818,3.848,16,-1,47.222,8.052,19.988,0.546,1
1ankb,0.358,0.035,60,18.115,10.869,7.246,398.97,12.0,4.094,0.475,0.217,15.176,4.353,9,3,45.946,3.695,8.784,0.442,1
1j6za,0.743,0.045,229,372.591,178.163,194.428,1860.778,18.789,3.87,0.448,0.31,5.178,3.911,26,1,46.212,10.81,25.36,0.362,1
2ixua,0.25,0.007,29,73.104,35.668,37.436,238.593,18.0,3.872,0.547,0.655,34.286,4.286,4,-1,27.273,2.237,4.642,0.292,1
1eccb,0.309,0.672,56,47.813,23.661,24.153,332.65,31.939,3.761,0.41,0.589,35.294,4.824,11,0,38.235,3.791,9.132,0.716,1
3hl8a,0.213,0.789,62,101.788,18.303,83.485,450.551,30.308,3.803,0.457,0.629,38.833,5.333,6,2,21.053,4.33,11.544,0.267,1
3eksa,0.369,0.848,81,140.476,47.41,93.067,1092.688,26.293,4.142,0.556,0.506,46.16,4.52,9,3,27.119,6.756,17.019,0.296,1
1yv3a,0.634,0.987,112,76.77,13.973,62.797,631.405,60.094,3.919,0.464,0.759,63.462,4.846,7,1,25.806,6.497,17.396,0.738,1
1imbb,0.541,0.373,48,43.675,36.43,7.246,646.278,23.846,4.079,0.554,0.542,13.0,4.5,7,-2,40.0,4.797,10.871,0.656,1
2bu2a,0.375,0.002,20,19.757,6.473,13.284,274.95,1.0,3.749,0.445,0.1,24.857,4.071,6,1,46.154,4.224,9.072,0.797,1
2ohva,0.295,0.946,90,112.219,17.232,94.987,797.043,53.324,3.931,0.454,0.822,49.474,4.579,6,-1,20.408,6.025,14.058,0.441,1
1l5sb,0.222,0.168,40,38.126,13.973,24.153,395.601,24.0,4.033,0.634,0.625,17.778,5.222,8,1,37.5,3.329,10.119,0.147,1
1gkya,0.591,0.634,78,68.215,44.063,24.153,593.166,37.0,4.05,0.498,0.487,10.933,4.2,10,0,47.619,4.064,9.344,0.429,1
2v57a,0.488,0.934,73,0.0,0.0,0.0,555.673,49.509,4.044,0.53,0.781,64.857,4.857,5,1,19.149,4.75,12.825,0.515,1
2yqsa,0.106,0.064,28,67.157,23.683,43.475,330.936,20.727,4.1,0.541,0.786,28.455,4.273,5,-1,27.273,3.247,8.78,0.089,1
3cfnb,0.681,0.865,40,37.028,3.214,33.814,330.771,19.273,3.823,0.544,0.55,26.0,3.182,4,1,41.379,4.264,10.681,0.183,1
2ohva,0.477,0.671,120,106.187,39.688,66.499,922.783,34.107,3.944,0.452,0.467,30.032,4.032,14,-2,39.706,6.638,16.424,0.272,1
2hvdc,0.963,0.981,107,25.088,2.143,22.945,788.24,82.097,4.123,0.519,0.963,65.696,4.696,5,1,13.793,5.732,16.272,0.006,1
2iyqa,1.327,0.993,133,52.667,34.552,18.114,1108.917,25.5,3.946,0.518,0.331,17.618,4.0,15,2,44.444,8.922,20.766,0.32,1
2npqa,0.719,0.683,120,106.187,39.688,66.499,937.564,34.107,3.944,0.452,0.467,30.032,4.032,14,-2,39.706,6.638,16.424,0.337,1
1l5sb,1.091,0.81,189,102.483,62.631,39.852,1043.504,17.838,3.815,0.419,0.196,16.098,4.293,27,3,49.462,8.966,20.657,0.286,1
3ixjc,0.993,0.943,170,114.26,88.9,25.36,1339.127,34.76,3.959,0.459,0.294,19.057,4.114,21,4,46.429,7.651,19.704,0.376,1
3ip0a,0.087,0.002,25,51.392,23.616,27.775,226.797,10.0,3.632,0.385,0.44,23.222,3.889,7,0,44.444,2.926,5.74,0.583,1
2q8ha,0.711,0.934,73,0.0,0.0,0.0,558.518,49.509,4.044,0.53,0.781,64.857,4.857,5,1,19.149,4.75,12.825,0.221,1
2oo8x,0.28,0.005,19,6.767,4.352,2.415,241.259,13.0,4.028,0.398,0.737,50.0,4.5,3,-1,31.25,2.33,4.712,0.661,1
2wi7a,0.788,0.968,172,211.97,102.076,109.894,1459.787,60.115,4.041,0.456,0.605,40.176,4.088,14,-2,35.556,8.433,22.839,0.372,1
2bu2a,0.446,0.095,48,45.851,20.49,25.36,448.757,22.24,3.982,0.512,0.521,39.0,3.929,5,-1,39.394,4.392,11.038,0.421,1
3fgob,0.53,0.207,52,60.127,22.611,37.516,589.819,26.207,3.927,0.529,0.558,27.062,4.5,8,2,30.952,4.718,8.847,0.191,1
1tr5a,0.513,0.294,47,17.386,6.517,10.869,351.121,23.481,3.807,0.485,0.574,20.182,3.909,5,1,32.353,4.111,10.082,0.78,1
1br6a,0.544,0.151,41,18.413,7.544,10.869,343.838,24.0,3.836,0.524,0.61,19.917,4.5,8,-2,35.714,3.135,8.963,0.081,1
1gzfc,0.465,0.189,53,43.045,14.062,28.983,384.981,10.0,3.853,0.443,0.208,20.5,5.417,9,0,47.059,4.294,10.234,0.418,1
3hzta,0.091,0.001,22,35.343,18.436,16.907,230.383,8.0,3.829,0.582,0.409,17.167,4.167,4,0,50.0,2.163,5.215,0.481,1
1dad,0.209,0.0,32,113.871,74.019,39.852,384.428,1.0,3.946,0.523,0.062,-4.077,3.231,9,-1,62.963,4.742,10.391,0.656,0
1qr3,0.256,0.002,32,102.052,54.954,47.098,430.269,4.286,3.959,0.548,0.219,18.818,3.455,7,2,45.833,3.932,11.399,0.118,0
1o7n,0.241,0.013,23,101.496,51.983,49.513,558.029,10.0,4.127,0.661,0.478,27.6,4.3,4,4,46.154,5.616,14.801,0.245,0
2euq,0.136,0.935,264,401.045,192.224,208.82,1679.663,53.661,3.841,0.431,0.447,32.444,4.0,18,1,36.0,8.672,20.583,0.162,0
1hsr,-0.077,0.672,274,518.045,137.899,380.145,2086.257,58.671,3.967,0.449,0.555,36.622,4.044,14,3,32.824,9.595,21.975,0.289,0
1hfw,0.46,0.019,37,116.767,73.213,43.554,513.408,7.2,4.062,0.633,0.27,10.0,2.933,8,-1,60.606,5.032,15.12,0.561,0
2o5o,0.08,0.962,128,271.992,41.335,230.657,911.192,73.589,3.907,0.424,0.875,58.56,4.64,9,4,24.194,6.486,17.32,0.323,0
1o7n,0.063,0.0,18,34.481,13.951,20.53,74.409,1.0,3.492,0.423,0.111,57.0,4.125,1,-1,40.0,1.311,2.822,0.058,0
1nfs,0.418,0.044,72,129.602,61.737,67.865,502.826,10.75,3.815,0.437,0.222,13.526,4.895,14,3,51.163,4.97,14.299,0.472,0
2fka,0.241,0.004,23,107.792,58.279,49.513,335.43,4.0,4.006,0.496,0.217,27.2,3.4,4,2,42.857,3.412,8.317,0.33,0
1v3e,-0.008,0.002,28,78.669,49.685,28.983,225.814,6.0,3.903,0.426,0.25,37.0,5.0,6,-1,52.632,2.142,5.892,0.12,0
2i56,0.07,0.414,67,173.767,80.78,92.987,604.681,18.095,3.97,0.553,0.313,4.421,4.316,17,-1,41.304,4.946,11.773,0.299,0
2bzz,0.251,0.0,19,81.054,41.202,39.852,376.878,0.0,3.968,0.522,0.053,52.4,5.4,6,3,52.632,3.222,6.675,0.229,0
1o6i,0.077,0.001,34,86.536,41.853,44.682,292.821,6.0,3.909,0.502,0.206,18.8,4.2,6,1,43.478,3.018,7.236,0.427,0
1j1r,0.309,0.619,46,115.703,50.491,65.212,332.258,19.76,3.698,0.467,0.543,33.909,4.727,5,-1,34.375,3.472,10.918,0.23,0
1xim,0.35,0.51,79,140.414,71.579,68.835,595.523,26.75,3.936,0.487,0.405,8.6,4.55,17,-3,48.837,4.606,11.741,0.541,0
1jtv,0.182,0.596,48,134.28,21.496,112.784,396.532,29.613,4.042,0.527,0.646,47.533,4.467,4,0,19.355,3.574,8.695,0.596,0
1i3h,0.21,0.01,28,58.266,18.414,39.852,182.943,10.0,3.849,0.552,0.393,18.556,4.0,5,0,36.842,2.032,5.447,0.013,0
1s0r,0.351,0.002,37,61.554,32.254,29.3,220.24,7.0,3.847,0.463,0.216,17.364,3.0,6,-1,63.636,2.048,5.524,0.218,0
1og1,0.257,0.606,66,112.604,57.053,55.551,383.838,25.0,3.896,0.483,0.394,21.8,3.6,9,0,44.737,3.362,9.913,0.319,0
2ptz,0.205,0.0,21,26.19,22.567,3.623,105.272,0.0,3.623,0.436,0.0,-8.455,3.818,9,2,66.667,1.916,4.362,0.138,0
2d6m,0.165,0.001,21,114.096,58.545,55.551,357.616,2.0,3.857,0.524,0.143,7.333,4.556,7,2,39.13,4.05,12.302,0.188,0
1ofo,0.319,0.003,63,147.832,110.395,37.436,472.533,3.143,3.796,0.442,0.111,1.889,4.389,13,5,55.0,5.528,16.109,0.489,0
1re9,-0.061,0.001,21,44.256,12.858,31.398,134.07,12.0,3.943,0.484,0.619,63.667,4.833,2,1,38.462,1.152,4.077,0.424,0
1lug,0.314,0.37,33,123.913,35.756,88.157,356.629,13.7,3.92,0.476,0.606,39.929,4.286,6,2,26.923,4.188,9.815,0.0,0
1l8s,0.312,0.65,70,131.715,40.826,90.889,467.522,31.029,3.979,0.496,0.5,42.625,4.625,6,1,30.0,4.084,9.962,0.267,0
1fkb,0.345,0.262,55,101.505,37.501,64.004,395.616,37.0,4.004,0.622,0.691,61.2,5.6,5,-2,21.875,3.204,10.769,0.001,0
1lbz,0.29,0.007,24,85.215,53.816,31.398,338.253,5.0,4.041,0.565,0.25,-19.0,3.417,9,-5,69.565,4.124,9.918,0.487,0
1k6x,0.37,0.402,84,157.648,86.735,70.913,804.55,26.727,4.106,0.56,0.393,39.458,4.75,14,1,38.462,5.366,12.8,0.307,0
1ogd,0.159,0.0,20,48.086,32.387,15.699,186.805,3.0,3.957,0.59,0.2,5.571,3.714,4,0,47.059,1.604,3.849,0.176,0
1e3z,0.215,0.027,57,188.658,77.477,111.181,629.154,12.588,4.017,0.49,0.298,26.647,4.765,13,0,42.5,5.315,13.045,0.099,0
2ajv,0.169,0.669,58,161.55,61.317,100.233,536.071,25.765,3.952,0.581,0.586,61.8,6.0,6,1,32.558,5.566,13.748,0.439,0
1kvo,0.156,0.976,124,291.192,84.37,206.821,1178.111,56.617,4.112,0.541,0.653,31.12,3.88,10,3,33.75,7.454,25.179,0.23,0
1jvp,-0.21,0.334,46,202.214,45.223,156.992,563.433,34.167,4.138,0.436,0.783,38.091,4.273,4,1,17.241,4.528,13.091,0.557,0
1gad,0.18,0.22,34,140.755,53.905,86.85,455.387,15.529,4.114,0.511,0.5,10.833,3.583,8,1,41.667,3.895,10.589,0.364,0
1re9,0.043,0.979,193,365.831,90.512,275.319,1408.566,59.027,3.944,0.458,0.575,44.311,4.156,15,1,34.694,8.124,19.147,0.174,0
2i4g,0.15,0.0,25,101.005,57.451,43.554,329.393,2.0,3.857,0.47,0.12,16.083,3.917,7,1,52.0,3.495,7.96,0.284,0
1f74,0.437,0.001,42,114.433,60.09,54.343,430.341,2.571,3.826,0.49,0.167,31.438,3.75,8,-1,41.935,4.696,11.077,0.364,0
1uxw,0.05,0.148,23,88.648,24.644,64.004,373.38,17.0,3.998,0.688,0.783,30.714,5.143,4,-1,20.0,3.356,7.453,0.335,0
2cxq,-0.014,0.012,154,418.778,163.968,254.81,1439.795,12.485,3.893,0.45,0.214,12.5,3.737,25,1,53.333,9.271,24.762,0.441,0
1ynd,0.108,0.165,30,86.912,42.229,44.682,275.061,21.0,4.05,0.611,0.733,46.7,4.7,4,2,26.087,2.45,5.943,0.0,0
1pq7,0.314,0.001,32,46.013,29.106,16.907,130.819,1.0,3.676,0.484,0.062,12.909,2.818,6,-1,60.0,1.955,4.262,0.271,0
2a2r,0.327,0.0,33,88.956,62.388,26.568,265.585,4.0,3.772,0.412,0.152,7.9,4.6,8,0,60.87,3.119,7.766,0.185,0
2i4g,0.025,0.003,17,87.41,49.973,37.436,281.129,11.0,4.184,0.618,0.706,29.571,4.429,4,2,47.059,2.554,4.862,0.41,0
1ko5,0.469,0.0,50,129.924,74.373,55.551,522.489,1.0,3.882,0.515,0.04,5.133,3.467,9,1,60.0,5.616,12.88,0.285,0
1qr3,0.163,0.037,47,140.87,67.205,73.665,351.974,28.0,4.019,0.496,0.617,31.0,4.444,5,-1,38.462,2.982,7.94,0.433,0
1dad,0.083,0.002,23,65.633,25.781,39.852,254.957,6.0,4.066,0.513,0.304,14.0,3.8,4,-2,52.632,2.195,5.977,0.644,0
1rxg,0.374,0.595,52,112.922,22.766,90.156,395.36,36.842,3.946,0.439,0.731,42.333,4.933,7,4,29.032,3.929,7.812,0.544,0
1oxr,0.352,0.526,68,130.824,37.678,93.146,509.932,32.0,3.991,0.484,0.5,48.706,5.0,8,2,35.0,4.31,8.827,0.528,0
1o7n,0.394,0.889,69,112.223,21.65,90.572,442.767,48.873,3.934,0.474,0.797,41.65,4.25,8,1,23.81,4.114,11.498,0.535,0
1e3z,0.217,0.647,42,107.013,33.348,73.665,418.508,25.0,3.992,0.483,0.619,40.0,4.182,5,0,42.857,3.501,9.059,0.093,0
2jew,0.336,0.004,43,140.314,78.725,61.589,486.746,4.0,4.051,0.502,0.116,13.389,3.944,13,1,55.882,4.728,12.54,0.323,0
2d5z,-0.14,0.008,28,124.911,28.301,96.61,374.334,17.895,3.936,0.444,0.679,47.273,5.273,6,5,30.0,3.259,8.878,0.524,0
1oyo,0.295,0.002,30,112.225,68.75,43.475,426.725,4.0,3.928,0.501,0.2,22.923,3.077,6,1,45.833,4.511,11.209,0.469,0
1bty,0.436,0.006,34,42.276,30.2,12.076,141.06,7.0,3.823,0.438,0.235,17.364,3.0,6,-1,63.158,1.729,3.9,0.146,0
1is3,0.249,0.0,25,74.607,44.417,30.191,227.779,4.0,3.87,0.407,0.2,19.625,5.5,7,2,41.176,2.161,4.685,0.252,0
